condition,review_body,rating,sentiment
Melasma,want say amaz sever malasma year thank tri luma chang life confid almost week maa result week amaz week wear heavi makeup anymor happi high recommend product realli work,10.0,Positive
Birth Control,implant exact year one month gotten pregnant sinc got implant period never stop ever call no sex control,5.0,Neutral
Migraine Prevention,use get week migrain topamax would run fioricet imitrex taper mg dose get occasion tingl finger toe noth compar full fledg migrain also drop lbs lot sinc lbs almost no appetit almost no migrain,8.0,Positive
Obesity,drug work need exercis without exercis experi headach weird dream get walk feel much much better weight come faster went lb lb enthusiasm walk final hit gym increas lost crave especi feel hungri time help get start eat littl day exercis key howev stop take drug cold turkey turn letharg hunger crave fast food doughnut ice cream sugari drink hit twice hard gain back pound start,7.0,Neutral
Depression,bupropion year mg taken everi morn notic differ day everyth normal not bad normal good normal like woke realli good sleep like weight pressur lift realli hard describ everyth seem better kid not music sound clearer look around outsid look clearer like fog tri experi went vacat take anyth week mood slowli return negat littl thing tick decid go back effect next day mood lift give slight insomnia also take away appetit great,10.0,Positive
Breast Cance,arimidex two month thought heart attack turn medic exemestan three month chest feel real tight time no energi headach tri decid go go tamoxifen talk sever peopl tamoxifen no side effect speak except hot flash also pain finger feet also feel like hear loss never,4.0,Negative
Undifferentiated Connective Tissue Disease,medic one day began gave serev vomit minut take stomach bloat uncontrol gas day six call doctor tell bilater muscl weak leg could hard walk straight line without feel like go fall doctor stop medic six day began take present known sever advers side effect medic muscl weak loss coordin,1.0,Negative
Anxiety,health issu print sever anxieti plus year ago tri coupl ssri made feel wors medic help feel normal also battl insomnia year took noth klonopin sleep also fear medic build toler physic impact stress told wors mind bodi life save plus no side effect profil medicin amaz hope continu take long term without would far wors shape thank rave review nice know not alon love medicin medic avers workout everyday eat right person,10.0,Positive
Pain,medicin prescrib pain work like advil one good three mg tablet one prescrib ibuprofen mg,9.0,Positive
Anxiety,made better,10.0,Positive
Acne,great work wonder oili skin hormon acn bonus help make lbs lighter,10.0,Positive
"Diabetes, Type 2",hair loss thin good read drug not come due hair loss urin lot smell sweet,3.0,Negative
Depression,start take pristiq month ago proven wonder suffer depress borderlin person disord almost immedi saw improv take pristiq would fli rage almost daili last month sinc take mayb rage time feel self conscious anymor feel aliv upbeat top lost weight sinc drug decreas appetit wonder drug,10.0,Positive
Depression,mirtazapin month help lift mood put place help insomnia cfs mg mg mg none help depress help sleep month mg bad side effect made extrem hungri put stone mg sedat although even stop work,8.0,Positive
ADHD,take adderal xr mg year take focus school work job actual succeed like abl well school work late side effect seem intensifi like crazi alway experienc loss appetit sweat anxieti depress start wreck havoc life not sociabl medic feel like robot get distract second start someth els focus instead get work done tri medic past none job like adderal,6.0,Neutral
Hyperhidrosis,love wish would tri get year ago,9.0,Positive
Bacterial Vaginitis,worst antibiot ever first day take dizzi sick fell chair work throughout week took felt dizzi sick sever headach light head exhaust worst tast mouth use wake middl night drink water cut keep big glass orang cordial near also first day terribl cold flu symptom addit pain ass went one night friend drink alcohol told not said would redbul keep awak woke next day seem like horrif hangov,2.0,Negative
Acne,epiduo best solut ever come across acn battl spot life antibiot year teenag made unwel believ caus last gastrointestin side effect cream amaz tri first combin pill yasmin rare get spot scar previous spot heal would definit recommend,10.0,Positive
Obesity,take belviq day half feel dizzi time realli hope goe away headach went away advil im hope pray dizzi go away time posit note not hungri fuller faster liter made eat dinner time scare would get hungri closer bedtim didnt want eat late,7.0,Neutral
Birth Control,gave headach time stop take headach free,1.0,Negative
Hepatitis C,take care husband treatment everi side effect show th month consid stop medicin altogeth,1.0,Negative
"Constipation, Chronic",start take medicin day ago far done anyth chronic constip ib realli not sure doctor prescrib sudden sever acut constip good thing even though work caus side effect,2.0,Negative
Dietary Supplementation,peopl drink ton water vitamin els biotin give acn caus sever headach make nauseous complain work give peopl get result realiti wrong not get enough water work wonder lost hair due medic stress start notic result two week eyelash two month scalp get hair growth everywher hair never look healthier,10.0,Positive
ADHD,lot mild ritalin effect focalin problem would weight loss lbs sometim react quick would without medic weird awesom drug adhd add colleg student instant get rid fidget abl listen focus bore lectur imagin learn,10.0,Positive
Emergency Contraception,june th unprotect sex wait til plan parent hood open gave ella pill took soon gave said day take week later juli th unprotect sex took ella pill caus sent ella pill home seen period juli mid august still seen period,1.0,Negative
Birth Control,experi ortho tri cyclen lo good use year not experienc cramp weight gain exercis lot first year past year not exercis maintain weight even think help facial breakout well recommend product howev not tri anyth els,8.0,Positive
